id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[98682]_[100M]_[60, 120]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[98682]_[100M]_[60, 120]",MANET,EpidemicOracle,400,300,98682,100,"60, 120",21600,241,124953,124953,0,0,43167,221,0.917,0,564.3982,1702.9412,1658,5.3891,5,603.5632,500,6168.09277970535,6092.94555334395,4.25142527737185
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[94176]_[75M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[94176]_[75M]_[5,25]",MANET,EpidemicOracle,400,300,94176,75,"5,25",21600,1444,2646425,2646425,0,2378100,165801,1189,0.8234,0,2224.7569,2352.926,2148,9.1354,8,658.8734,465,6293.97346707375,6242.13012507521,3.33805987287101
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5481]_[150M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5481]_[150M]_[5,25]",MANET,EpidemicOracle,100,300,5481,150,"5,25",21600,1471,168975,168975,0,67932,49024,1117,0.7593,0,150.2757,4628.7466,4511,4.4933,4,3364.4901,2565,6403.22504778554,6416.10213073903,1.8484581051665
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44450]_[200M]_[25,35]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44450]_[200M]_[25,35]",MANET,EpidemicOracle,100,300,44450,200,"25,35",21600,728,68777,68777,0,0,25112,558,0.7665,0,122.2563,4521.0197,4372,4.2294,4,1779.2822,1465,6246.23236533011,6264.10296172829,1.82293963758342
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[150M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[150M]_[5,25]",MANET,EpidemicOracle,100,300,28749,150,"5,25",21600,1471,175293,175293,0,73044,50958,1110,0.7546,0,156.9216,4667.9838,4524,4.4811,4,3299.5476,2535,6354.20602738679,6387.32688871756,1.85649497346331
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[5327]_[100M]_[25,35]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[5327]_[100M]_[25,35]",MANET,EpidemicOracle,600,300,5327,100,"25,35",21600,728,2902216,2902216,0,2510503,182139,672,0.9231,0,4317.7738,1474.6756,1399,6.9315,6,1046.6129,555,6303.50164040491,6272.26812621956,4.87637905722101
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[80454]_[100M]_[5,25]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[80454]_[100M]_[5,25]",MANET,EpidemicOracle,600,300,80454,100,"5,25",21600,1472,7004690,7004690,0,6509832,284695,1294,0.8791,0,5412.2071,1878.0603,1710,10.0348,8,503.5211,330,6326.19139687295,6271.00234511594,4.09425620735158
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[73906]_[75M]_[25,35]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[73906]_[75M]_[25,35]",MANET,EpidemicOracle,200,300,73906,75,"25,35",21600,730,356944,356944,0,253204,51124,601,0.8233,0,592.9168,2874.1065,2786,5.599,5,2031.1947,1395,6622.81019226343,6646.01080536555,Infinity
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[61959]_[200M]_[35,60]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[61959]_[200M]_[35,60]",MANET,EpidemicOracle,200,300,61959,200,"35,60",21600,458,106965,106965,0,0,37201,401,0.8755,0,265.7456,2638.7481,2548,4.8429,5,965.5531,790,6034.95594297934,6055.18885420086,Infinity
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[4762]_[50M]_[25,35]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[4762]_[50M]_[25,35]",MANET,EpidemicOracle,600,300,4762,50,"25,35",21600,728,3467877,3467877,0,3224539,136560,625,0.8585,0,5547.6032,1842.4064,1722,10.0256,8,502.3772,330,6466.24260516293,6371.0906333003,4.20697689998211
