id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[33282]_[150M]_[25,35]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[33282]_[150M]_[25,35]_w[3]",MANET,MaxProp,200,300,33282,150,"25,35",21600,730,16369,16258,109,4,12181,433,0.5932,0,36.5473,6112.582,5624,2.5982,3,3982.5774,3475,6254.35752993884,6245.94530087251,1.63650066285458
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[80454]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[80454]_[150M]_[35,60]_w[3]",MANET,MaxProp,200,300,80454,150,"35,60",21600,458,15227,15162,61,1,12104,314,0.6856,0,47.2866,5675.9236,5329,2.8376,3,3698.5003,3315,6325.86328598899,6330.60929714006,1.55396098024479
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[200M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[200M]_[5,25]_w[3]",MANET,MaxProp,200,300,22,200,"5,25",21600,1454,18968,18694,271,443,12383,739,0.5083,0,24.2963,6622.7185,6126,2.3058,2,4783.8729,4117,6348.56076382436,6285.1278370877,1.6539064268672
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[65221]_[200M]_[60, 120]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[65221]_[200M]_[60, 120]_w[3]",MANET,MaxProp,100,300,65221,200,"60, 120",21600,242,3380,3369,11,213,2027,115,0.4752,0,28.2957,7789.2261,8196,2.3826,2,6266.9634,5970,6050.25391449853,5756.65244531863,1.23126117591917
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[35,60]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[35,60]_w[3]",MANET,MaxProp,100,300,28749,50,"35,60",21600,459,3911,3887,23,316,2094,195,0.4248,0,18.9333,7729.0974,7070,2.3282,2,6517.2635,5830,6082.67500661849,6249.46609753162,1.64271649531581
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[15598]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[15598]_[150M]_[35,60]_w[3]",MANET,MaxProp,200,300,15598,150,"35,60",21600,458,15560,15485,75,1,12102,305,0.6659,0,49.7705,5693.6393,5328,2.8689,3,3685.1135,3290,6279.14954181535,6053.12056147098,1.6486080385164
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[75M]_[25,35]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[22]_[75M]_[25,35]_w[3]",MANET,MaxProp,200,300,22,75,"25,35",21600,730,16255,16144,110,21,11812,410,0.5616,0,38.3756,6258.978,5998,2.5976,3,4150.7072,3640,6331.50443820137,6236.79295721657,1.59423420038231
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[100M]_[25,35]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[24113]_[100M]_[25,35]_w[3]",MANET,MaxProp,400,300,24113,100,"25,35",21600,729,63630,63036,585,0,55464,583,0.7997,0,107.1235,3786.8422,3631,3.1441,3,2221.2185,1940,6161.00067666252,6157.87663742378,2.14711128775103
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[38517]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[38517]_[150M]_[35,60]_w[3]",MANET,MaxProp,400,300,38517,150,"35,60",21600,460,57979,57616,347,0,52138,384,0.8348,0,149.0417,3181.8932,3153,3.6198,4,1890.3183,1660,6440.01487428871,6449.48919007276,2.61018191458041
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]",MANET,MaxProp,200,300,79009,50,"5,25",21600,1454,18411,18122,286,540,12015,732,0.5034,0,23.7568,6948.2514,6667,2.2746,2,5193.7224,4573,6220.72368965076,6281.41872010411,1.49024095081575
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[70]_[200M]_[60, 120]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[70]_[200M]_[60, 120]_w[3]",MANET,MaxProp,100,300,70,200,"60, 120",21600,242,3192,3185,6,254,1698,113,0.4669,0,27.1858,7933.6814,7769,2.5752,3,6537.9662,6100,6544.71060053962,6473.61234831946,1.33469638167047
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78051]_[100M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78051]_[100M]_[35,60]_w[3]",MANET,MaxProp,200,300,78051,100,"35,60",21600,458,15318,15232,79,50,11914,299,0.6528,0,49.9431,5486.8696,5124,2.893,3,3577.4096,3225,6087.54177053925,5915.42990942854,1.62478807457346
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15475]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15475]_[150M]_[35,60]_w[3]",MANET,MaxProp,400,300,15475,150,"35,60",21600,460,58430,58044,371,0,52365,387,0.8413,0,148.9845,3032.7829,2798,3.5711,4,1897.1312,1665,6319.56181918488,6224.90735596304,2.67908749754629
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[58405]_[100M]_[35,60]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[58405]_[100M]_[35,60]_w[3]",MANET,MaxProp,400,300,58405,100,"35,60",21600,460,58712,58343,357,0,53086,388,0.8435,0,149.3686,3010.3247,3012,3.6005,4,1776.9863,1580,6069.20774183906,5986.5826303528,2.47758529992777
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[44180]_[200M]_[25,35]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[44180]_[200M]_[25,35]_w[3]",MANET,MaxProp,600,300,44180,200,"25,35",21600,728,139549,138338,1188,0,128349,642,0.8819,0,214.4798,2503.7679,2443,3.6075,4,1461.8991,1289,6297.47787849482,6217.58186048487,3.08059853422652
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[78802]_[200M]_[60, 120]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[78802]_[200M]_[60, 120]_w[3]",MANET,MaxProp,600,300,78802,200,"60, 120",21600,239,100920,100624,277,0,94132,215,0.8996,0,467.0186,1847.3256,1734,4.7116,5,1345.4069,1235,6704.05578603782,6661.94999003004,4.14435813873205
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[70]_[200M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[70]_[200M]_[5,25]_w[3]",MANET,MaxProp,200,300,70,200,"5,25",21600,1454,18219,17952,265,504,11893,708,0.4869,0,24.3559,6883.2048,6380,2.2867,2,5177.3114,4495,6248.71292409566,6095.55007324396,1.5493701066522
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]",MANET,MaxProp,400,300,15598,75,"25,35",21600,729,64109,63501,595,0,56564,588,0.8066,0,106.9949,3563.5544,3528,3.1497,3,2113.658,1845,6077.84878524932,5940.5017501967,2.28763675556734
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[38517]_[100M]_[60, 120]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[38517]_[100M]_[60, 120]_w[3]",MANET,MaxProp,600,300,38517,100,"60, 120",21600,239,101343,101047,273,0,93732,216,0.9038,0,466.8102,1796.7731,1739,5.037,5,1277.4507,1150,6627.02019270033,6745.58562631365,4.20449996951799
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]",MANET,MaxProp,600,300,15598,75,"25,35",21600,728,138504,137248,1223,0,127116,637,0.875,0,214.46,2633.9403,2544,3.6295,4,1527.3121,1335,6286.18971132404,6254.49580655751,2.93181139237795
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[44180]_[200M]_[35,60]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[44180]_[200M]_[35,60]_w[3]",MANET,MaxProp,100,300,44180,200,"35,60",21600,459,3564,3544,19,316,1829,182,0.3965,0,18.4725,8110.544,7448,2.2473,2,6375.8522,5695,6362.95463248377,6453.38488042094,1.43622930577229
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[80454]_[100M]_[5,25]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[80454]_[100M]_[5,25]_w[3]",MANET,MaxProp,600,300,80454,100,"5,25",21600,1472,162690,160153,2501,0,145088,1254,0.8519,0,126.7137,3149.0686,2999,3.1164,3,1810.1913,1562,6326.19139687295,6321.78722401708,2.65764442996811
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[68831]_[100M]_[60, 120]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[68831]_[100M]_[60, 120]_w[3]",MANET,MaxProp,200,300,68831,100,"60, 120",21600,240,13898,13866,30,0,11392,174,0.725,0,78.6897,5067.7299,4778,3.3506,3,3184.2575,2860,6205.68154397481,6065.37729611937,1.66559979035645
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[150M]_[25,35]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[150M]_[25,35]_w[3]",MANET,MaxProp,400,300,80454,150,"25,35",21600,729,64069,63495,562,0,56676,587,0.8052,0,107.1687,3644.0017,3538,3.2027,3,2109.1224,1835,6206.12613467934,6081.35244037981,2.22409455779921
