"id","scenario","mobility","router","nodes","ttl","seed","buffer_size","message_interval","sim_time","created","started","relayed","aborted","dropped","removed","delivered","delivery_prob","response_prob","overhead_ratio","latency_avg","latency_med","hopcount_avg","hopcount_med","buffertime_avg","buffertime_med","distance_avg","d_dist_avg","speed_avg","mobility","router","nodes","ttl","seed","buffer_size","message_interval","exp_weight","task_id","execution_assigned","execution_started","execution_finished","worker"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","15475","50","5,25",21600,1471,304524,304524,0,257178,30392,1047,0.7118,0,289.8539,3614.3811,3164,7.1547,6,974.2869,690,7598.3007271044,7569.34986971711,"Infinity","cdmx","EpidemicOracle",100,300,15475,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[45907]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[45907]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","45907","50","5,25",21600,1471,292282,292282,0,245180,29608,1029,0.6995,0,283.0447,3595.345,3154,6.9718,6,1004.1722,735,7687.50937679899,7438.44445927254,3.03835160186231,"cdmx","EpidemicOracle",100,300,45907,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5768]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5768]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","5768","50","5,25",21600,1471,309904,309904,0,263081,29358,1038,0.7056,0,297.5588,3485.2274,3074,7.0954,6,938.7359,690,7337.32440812889,7270.23946876897,"Infinity","cdmx","EpidemicOracle",100,300,5768,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","28749","50","5,25",21600,1471,315405,315405,0,268293,29449,1057,0.7186,0,297.3964,3456.1816,3023,7.0833,6,931.2749,665,7328.59423590075,7285.06571097439,"Infinity","cdmx","EpidemicOracle",100,300,28749,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","24113","50","5,25",21600,1471,312440,312440,0,266163,29345,1022,0.6948,0,304.7143,3530.5176,3117,7.4775,6,935.5589,660,7548.12424233274,7390.11351070557,3.10517411014428,"cdmx","EpidemicOracle",100,300,24113,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","80454","50","5,25",21600,1471,319580,319580,0,272431,29969,1010,0.6866,0,315.4158,3455.1238,3137,7.0703,6,910.7915,655,7626.52336702393,7578.69571083431,"Infinity","cdmx","EpidemicOracle",100,300,80454,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[59004]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[59004]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","59004","50","5,25",21600,1471,300216,300216,0,253351,29208,1033,0.7022,0,289.6254,3569.9961,3170,7.0987,6,997.551,715,7397.58455867818,7379.81888582185,"Infinity","cdmx","EpidemicOracle",100,300,59004,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[54008]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[54008]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","54008","50","5,25",21600,1471,305966,305966,0,258680,29947,1041,0.7077,0,292.9155,3677.3007,3203,7.1825,6,971.2177,675,7340.83462436443,7316.65350140673,"Infinity","cdmx","EpidemicOracle",100,300,54008,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[70]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[70]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","70","50","5,25",21600,1471,322173,322173,0,275774,28985,1033,0.7022,0,310.8809,3566.6786,3176,7.2807,6,908.331,630,7435.68166517703,7324.11954711835,"Infinity","cdmx","EpidemicOracle",100,300,70,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[8439]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[8439]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","8439","50","5,25",21600,1471,303197,303197,0,255525,30459,1035,0.7036,0,291.944,3510.8338,3089,6.9449,5,970.2018,725,7554.40407971479,7387.1908415544,3.18939601591491,"cdmx","EpidemicOracle",100,300,8439,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[22]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[22]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","22","50","5,25",21600,1471,321609,321609,0,276185,28421,1014,0.6893,0,316.1686,3495.569,2865,7.3826,6,911.0788,635,7407.69505579315,7433.49560501426,3.30141200089107,"cdmx","EpidemicOracle",100,300,22,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[58405]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[58405]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","58405","50","5,25",21600,1471,326814,326814,0,281162,28265,1006,0.6839,0,323.8648,3358.6024,2971,7.1143,6,894.0828,650,7561.99213986699,7331.96354258425,"Infinity","cdmx","EpidemicOracle",100,300,58405,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[38517]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[38517]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","38517","50","5,25",21600,1471,294600,294600,0,247342,29844,1013,0.6886,0,289.8193,3578.8657,3128,7.0592,6,984.8659,725,7489.7367886016,7350.2784674164,"Infinity","cdmx","EpidemicOracle",100,300,38517,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[33282]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[33282]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","33282","50","5,25",21600,1471,306770,306770,0,259119,30487,1054,0.7165,0,290.0531,3465.1935,3037,6.9526,6,961.3803,720,7450.48676730381,7466.52073704917,"Infinity","cdmx","EpidemicOracle",100,300,33282,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5481]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5481]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","5481","50","5,25",21600,1471,308906,308906,0,261562,29736,1017,0.6914,0,302.7424,3530.6087,3044,7.2547,6,967.2775,695,7318.26146316266,7129.62981503215,2.9684977362893,"cdmx","EpidemicOracle",100,300,5481,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11778]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11778]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","11778","50","5,25",21600,1471,320384,320384,0,273422,29509,1017,0.6914,0,314.0285,3659.2271,3273,7.3963,6,923.1852,655,7592.27317534179,7552.14038149547,3.17636299274227,"cdmx","EpidemicOracle",100,300,11778,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[96617]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[96617]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","96617","50","5,25",21600,1471,305418,305418,0,257456,30470,1031,0.7009,0,295.2347,3563.8952,3137,7.2793,6,963.0809,710,7499.6887054477,7350.73700732869,"Infinity","cdmx","EpidemicOracle",100,300,96617,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[52770]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[52770]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","52770","50","5,25",21600,1471,311277,311277,0,263921,30015,1056,0.7179,0,293.7699,3639.303,3151,7.1335,6,943.9265,650,7523.09404102784,7459.42463059781,3.08186410026209,"cdmx","EpidemicOracle",100,300,52770,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[55182]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[55182]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","55182","50","5,25",21600,1471,287986,287986,0,242828,28130,994,0.6757,0,288.7243,3571.3521,3197,6.9185,6,997.9457,735,7662.14214498027,7360.02794446295,"Infinity","cdmx","EpidemicOracle",100,300,55182,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5327]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5327]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","5327","50","5,25",21600,1471,289315,289315,0,241666,30429,1029,0.6995,0,280.1613,3677.5627,3176,6.8795,6,1018.9091,770,7344.38510019818,7217.47051411051,"Infinity","cdmx","EpidemicOracle",100,300,5327,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11131]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11131]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","11131","50","5,25",21600,1471,309196,309196,0,262917,28993,986,0.6703,0,312.5862,3397.8844,3003,7.146,6,954.2957,675,7399.59628563149,7266.75255062277,"Infinity","cdmx","EpidemicOracle",100,300,11131,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
