id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[54008]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[54008]_[50M]_[5,25]_w[3]",cdmx,MaxProp,200,300,54008,50,"5,25",21600,1454,56455,55770,670,0,49256,1197,0.8232,0,45.5915,3375.6132,3153,2.6566,3,2344.028,2045,7504.7716731422,7377.62004859033,3.06444286508561
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]",cdmx,MaxProp,600,300,24113,50,"5,25",21600,1472,393442,388220,5155,0,363121,1340,0.9103,0,288.7164,1781.2149,1691,3.4567,3,1320.2723,1150,7729.69776388672,7669.90137401261,5.21543470904377
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[78051]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[78051]_[50M]_[25,35]_w[3]",cdmx,MaxProp,400,300,78051,50,"25,35",21600,729,158143,156880,1232,0,144401,653,0.8957,0,239.245,2002.9081,1864,3.7289,4,1503.1588,1330,7423.15044853596,7376.80859914255,4.46985327292931
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[55182]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[55182]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,600,300,55182,50,"60, 120",21600,239,119772,119524,217,0,111122,224,0.9372,0,532.5893,1337.375,1247,4.7902,4,1214.5412,1060,7319.15428401911,7185.5925167422,5.99920273943375
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[78051]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[78051]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,100,300,78051,50,"60, 120",21600,242,9819,9792,23,0,8417,194,0.8017,0,49.4742,3709.5876,3363,3.0928,3,2775.6791,2510,7263.75444456234,7185.20725945491,2.94405624374478
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[25,35]_w[3]",cdmx,MaxProp,100,300,94176,50,"25,35",21600,728,12073,11975,96,0,9741,519,0.7129,0,22.0732,4561.8921,4085,2.3834,2,3374.7013,2900,7609.49514854914,7540.36076637113,2.60125434453333
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[70]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[70]_[50M]_[35,60]_w[3]",cdmx,MaxProp,600,300,70,50,"35,60",21600,459,215316,214202,1058,0,200515,431,0.939,0,495.9884,1407.5406,1333,4.6589,4,1252.6542,1120,7543.75791675155,7468.36971129835,5.98019305352195
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[54008]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[54008]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,200,300,54008,50,"60, 120",21600,240,31107,31035,59,0,28015,218,0.9083,0,141.3624,2345.0413,2165,3.7156,4,1877.2392,1655,8012.52904807371,7895.96454672721,4.13008754416811
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[70]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[70]_[50M]_[5,25]_w[3]",cdmx,MaxProp,200,300,70,50,"5,25",21600,1454,53509,52891,611,0,46054,1191,0.8191,0,43.4089,3491.7985,3282,2.6238,3,2427.1397,2125,7584.01519245944,7395.96733387438,2.9965445646476
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[5481]_[50M]_[35,60]_w[3]",cdmx,MaxProp,600,300,5481,50,"35,60",21600,459,212257,211183,1028,0,197036,431,0.939,0,488.9838,1435.42,1373,4.6473,4,1245.9422,1104,7569.42500362918,7471.44904046556,5.99770169261778
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[5481]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[5481]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,5481,50,"5,25",21600,1471,14942,14780,160,170,11226,943,0.6411,0,14.6734,5372.7497,4811,2.1209,2,4227.812,3735,7318.26146316266,7153.48102575051,2.2437774516114
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[79009]_[50M]_[5,25]_w[3]",cdmx,MaxProp,600,300,79009,50,"5,25",21600,1472,399828,394506,5261,0,364700,1347,0.9151,0,291.8775,1779.0334,1719,3.4989,3,1315.3894,1147,7367.34732612987,7321.80987122561,4.96758885823957
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[22]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[22]_[50M]_[5,25]_w[3]",cdmx,MaxProp,400,300,22,50,"5,25",21600,1444,193732,191107,2587,0,176679,1289,0.8927,0,147.2599,2159.8472,2013,3.1047,3,1557.587,1348,7468.24990178333,7388.7663789965,4.25494545221831
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[55182]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[55182]_[50M]_[25,35]_w[3]",cdmx,MaxProp,100,300,55182,50,"25,35",21600,728,12351,12263,86,45,10014,543,0.7459,0,21.5838,4664.3352,4401,2.3683,2,3544.5491,3123,7518.18345643022,7427.21838594526,2.56269179531905
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[58405]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[58405]_[50M]_[35,60]_w[3]",cdmx,MaxProp,200,300,58405,50,"35,60",21600,458,40984,40789,188,0,36755,399,0.8712,0,101.2281,2623.8596,2440,3.3008,3,1916.8725,1710,7214.45560579886,7226.20926861559,3.51817315991258
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,94176,50,"5,25",21600,1471,14777,14620,153,124,10874,939,0.6383,0,14.5698,5419.1693,4959,2.1246,2,4149.5775,3660,7418.09984604016,7364.58350806586,2.25571014550101
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15475]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,15475,50,"5,25",21600,1471,14310,14173,132,55,10611,945,0.6424,0,13.9979,5162.0444,4733,2.1016,2,4138.9525,3637,7598.3007271044,7456.94623710505,2.47467612068155
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[68831]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[68831]_[50M]_[35,60]_w[3]",cdmx,MaxProp,200,300,68831,50,"35,60",21600,458,40497,40294,195,0,36573,398,0.869,0,100.2412,2561.3442,2370,3.3543,3,1918.9053,1690,7668.08889923034,7581.07419358612,3.91508542517968
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[45907]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[45907]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,100,300,45907,50,"60, 120",21600,242,9823,9798,21,0,8348,199,0.8223,0,48.2362,3346.3266,3202,2.9749,3,2602.5198,2345,7759.09361095728,8000.46665863076,3.10716803621165
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[11778]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[11778]_[50M]_[5,25]_w[3]",cdmx,MaxProp,200,300,11778,50,"5,25",21600,1454,54820,54168,640,0,47062,1173,0.8067,0,45.179,3448.0077,3308,2.6402,3,2421.0138,2117,7458.49512702897,7360.56036950389,3.06678236740054
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]",cdmx,MaxProp,200,300,80454,50,"5,25",21600,1454,55146,54495,642,0,47294,1191,0.8191,0,44.7557,3559.9891,3316,2.5945,3,2525.7018,2225,7323.03178562566,7177.06943804433,2.83725958915283
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[33282]_[50M]_[25,35]_w[3]",cdmx,MaxProp,100,300,33282,50,"25,35",21600,728,12859,12776,80,52,10234,534,0.7335,0,22.9251,4693.7547,4512,2.3914,2,3460.3517,3022,7201.29528436132,7150.70621745387,2.595031409363
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[80454]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[80454]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,600,300,80454,50,"60, 120",21600,239,122257,121963,272,0,111868,224,0.9372,0,543.4777,1388.5045,1276,5.0804,5,1237.7779,1090,7400.24689264701,7343.45688170069,5.87294559837454
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15598]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15598]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,100,300,15598,50,"60, 120",21600,242,9627,9605,20,0,8155,200,0.8264,0,47.025,3605.465,3499,3.085,3,2822.6722,2510,7266.85508629055,7169.20803544728,3.09753486225121
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78802]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78802]_[50M]_[25,35]_w[3]",cdmx,MaxProp,200,300,78802,50,"25,35",21600,730,46545,46248,288,0,41110,624,0.8548,0,73.1154,2887.7516,2740,2.9022,3,2050.9951,1825,7232.20956857739,7066.69957432518,3.3937577873165
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[80454]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,80454,50,"5,25",21600,1471,14620,14455,164,35,11233,972,0.6608,0,13.8714,5380.537,4887,2.0998,2,4187.6811,3670,7626.52336702393,7630.45341813056,2.36339031482225
